rank,char_trad,char_simp,count
1174,癥,症,52400
1175,倆,俩,52290
1176,遺,遗,51983
1177,淡,,51974
1178,嘗,尝,51836
1179,嚐,尝,51836
1180,巧,,51835
1181,楊,杨,51691
1182,固,,51547
1183,茶,,51534
1184,陪,,51377
1185,詩,诗,51208
1186,危,,50872
1187,仍,,50829
1188,幕,,50776
1189,舞,,50763
1190,雄,,50706
1191,藍,蓝,50562
1192,齡,龄,50453
1193,憶,忆,50441
1194,握,,50409
1195,泡,,50406
1196,摸,,50348
1197,洋,,50215
1198,織,织,50172
1199,胸,,49967
1200,甲,,49954
1201,忙,,49908
1202,萌,,49894
1203,雨,,49889
1204,酸,,49687
1205,鞋,,49582
1206,叔,,49442
1207,炸,,49304
1208,紹,绍,49261
1209,剩,,49245
1210,迎,,49192
1211,頓,顿,49111
1212,副,,49061
1213,兄,,49055
1214,拼,,48982
1215,妝,妆,48980
1216,豐,丰,48952
1217,禁,,48916
1218,帥,帅,48851
1219,槽,,48793
1220,煩,烦,48698
1221,騰,腾,48668
1222,噴,喷,48585
1223,菸,烟,48543
1224,煙,烟,48543
1225,騎,骑,48468
1226,島,岛,48462
1227,蒙,,48384
1228,濛,蒙,48384
1229,矇,蒙,48384
1230,革,,48336
1231,協,协,48318
1232,湖,,48149
1233,尋,寻,48138
1234,君,,48050
1235,宜,,47667
1236,搶,抢,47635
1237,額,额,47580
1238,胖,,47574
1239,槍,枪,47364
1240,鬧,闹,47307
1241,擺,摆,47297
1242,倫,伦,47259
1243,伊,,47200
1244,昨,,47189
1245,冬,,47177
1246,鼕,冬,47177
1247,幻,,47039
1248,監,监,46980
1249,插,,46896
1250,鬼,,46831
1251,刪,删,46826
1252,粗,,46803
1253,雅,,46736
1254,勇,,46695
1255,諸,诸,46543
1256,俗,,46495
1257,飲,饮,46428
1258,涉,,46391
1259,燈,灯,46151
1260,敏,,46126
1261,委,,46076
1262,凡,,45955
1263,田,,45872
1264,厭,厌,45739
1265,束,,45722
1266,婦,妇,45706
1267,蘋,苹,45701
1268,綜,综,45652
1269,侵,,45642
1270,患,,45622
1271,拒,,45467
1272,聚,,45443
1273,登,,45388
1274,祖,,45330
1275,誠,诚,45308
1276,授,,45196
1277,施,,45178
1278,陣,阵,45112
1279,吉,,45057
1280,厲,厉,45042
1281,樹,树,45003
1282,探,,44987
1283,稅,税,44965
1284,途,,44845
1285,憑,凭,44476
1286,尾,,44400
1287,疼,,44335
1288,損,损,44236
1289,厚,,44197
1290,尚,,44171
1291,淨,净,44142
1292,逐,,43941
1293,鋼,钢,43910
1294,閑,闲,43902
1295,閒,闲,43902
1296,肥,,43788
1297,截,,43663
1298,頁,页,43588
1299,拜,,43586
1300,扯,,43534
1301,匿,,43506
1302,億,亿,43416
1303,坑,,43350
1304,丟,丢,43304
1305,汽,,43225
1306,寧,宁,43190
1307,玉,,42910
1308,孫,孙,42845
1309,榮,荣,42789
1310,唐,,42741
1311,替,,42717
1312,庫,库,42716
1313,恰,,42681
1314,鼓,,42601
1315,詳,详,42573
1316,俄,,42341
1317,緣,缘,42319
1318,坦,,42254
1319,震,,42242
1320,屁,,42227
1321,征,,42166
1322,徵,征,42166
1323,鄉,乡,42041
1324,仔,,41742
1325,耐,,41742
1326,摩,,41623
1327,圓,圆,41580
1328,潛,潜,41483
1329,磨,,41480
1330,睛,,41437
1331,築,筑,41379
1332,糾,纠,41277
1333,炮,,41192
1334,戴,,41163
1335,閉,闭,41079
1336,炒,,41045
1337,迫,,40917
1338,杯,,40846
1339,盃,杯,40846
1340,辛,,40809
1341,鍋,锅,40760
1342,卷,,40656
1343,捲,卷,40656
1344,拖,,40610
1345,染,,40556
1346,廢,废,40551
1347,爛,烂,40331
1348,霸,,40071
1349,旦,,39962
1350,秒,,39934
1351,懶,懒,39793
1352,牆,墙,39575
1353,幼,,39559
1354,獻,献,39409
1355,傾,倾,39369
1356,豬,猪,39337
1357,寒,,39216
1358,偉,伟,39160
1359,猜,,39084
1360,逃,,39026
1361,滅,灭,38986
1362,蠻,蛮,38979
1363,怒,,38826
1364,鼻,,38805
1365,敵,敌,38585
1366,暖,,38582
1367,抑,,38551
1368,瓶,,38532
1369,魯,鲁,38511
1370,詢,询,38452
1371,惜,,38428
1372,諾,诺,38275
1373,啟,启,38252
1374,葉,叶,38249
1375,檔,档,38135
1376,寬,宽,38034
1377,淚,泪,37838
1378,幣,币,37722
1379,嫌,,37692
1380,延,,37689
1381,丑,,37653
1382,醜,丑,37653
1383,臥,卧,37621
1384,搬,,37596
1385,丁,,37589
1386,恩,,37583
1387,甜,,37543
1388,側,侧,37528
1389,塞,,37527
1390,妻,,37475
1391,姓,,37461
1392,冠,,37332
1393,伯,,37258
1394,柔,,37195
1395,潮,,37190
1396,佳,,37187
1397,夸,,37052
1398,誇,夸,37052
1399,抄,,37035
1400,瘦,,37026
1401,宮,宫,37005
1402,宇,,36967
1403,箱,,36965
1404,匯,汇,36813
1405,彙,汇,36813
1406,慶,庆,36738
1407,呆,,36695
1408,湯,汤,36664
1409,貝,贝,36661
1410,聰,聪,36649
1411,敬,,36609
1412,窗,,36451
1413,腰,,36413
1414,豪,,36396
1415,杰,,36231
1416,傑,杰,36231
1417,秋,,36212
1418,鞦,秋,36212
1419,辣,,36001
1420,冒,,35983
1421,祕,秘,35914
1422,迪,,35876
1423,亡,,35861
1424,繁,,35856
1425,潔,洁,35852
1426,奮,奋,35695
1427,薩,萨,35686
1428,壁,,35642
1429,溝,沟,35626
1430,瞬,,35597
1431,瘋,疯,35582
1432,泰,,35580
1433,糖,,35569
1434,醣,糖,35569
1435,劍,剑,35458
1436,亦,,35352
1437,哲,,35252
1438,褲,裤,35183
1439,緒,绪,35177
1440,撕,,35073
1441,滑,,35035
1442,仿,,35017
1443,麥,麦,35013
1444,央,,35000
1445,欺,,34837
1446,暫,暂,34776
1447,賬,账,34749
1448,拋,抛,34733
1449,辯,辩,34651
1450,訪,访,34624
1451,爽,,34616
1452,薪,,34616
1453,揮,挥,34564
1454,徒,,34438
1455,琴,,34336
1456,扎,,34243
1457,紮,扎,34243
1458,渣,,34126
1459,趙,赵,34024
1460,滾,滚,34012
1461,吵,,34004
1462,兼,,33820
1463,違,违,33798
1464,羊,,33747
1465,郁,,33690
1466,鬱,郁,33690
1467,咖,,33396
